id,healing_event_id,step_name,ui_version,attr_score,sem_score,struct_score,visual_score,ctx_score,total_score,cand_tag,cand_testid,cand_text,is_correct,recorded_at
117,32,filter_iphone_button,v5,0.93,0.772,0.8626,0.6547,0.764,0.859,button,,IPAD,0,2026-05-26 11:29:57
118,32,filter_iphone_button,v5,0.93,0.6785,0.8501,0.6319,0.764,0.8246,button,,MACBOOK,0,2026-05-26 11:29:57
119,32,filter_iphone_button,v5,0.842,0.62,0.8626,0.6447,0.764,0.7745,button,,TẤT CẢ,0,2026-05-26 11:29:57
120,32,filter_iphone_button,v5,0.7467,0.6707,0.7707,0.5397,0.764,0.7283,button,,Đăng xuất,0,2026-05-26 11:29:57
121,33,filter_ipad_button,v5,0.93,1.0,0.88,0.6652,0.764,0.9391,button,,IPAD,1,2026-05-26 11:30:30
122,33,filter_ipad_button,v5,0.93,0.8273,0.8501,0.6251,0.764,0.8737,button,,AIRPODS,0,2026-05-26 11:30:30
123,33,filter_ipad_button,v5,0.93,0.772,0.8626,0.6404,0.764,0.859,button,,IPHONE,0,2026-05-26 11:30:30
124,33,filter_ipad_button,v5,0.93,0.6891,0.8626,0.6587,0.764,0.8316,button,,MACBOOK,0,2026-05-26 11:30:30
125,33,filter_ipad_button,v5,0.842,0.62,0.8501,0.6008,0.764,0.771,button,,TẤT CẢ,0,2026-05-26 11:30:30
126,33,filter_ipad_button,v5,0.7729,0.7286,0.6874,0.5433,0.764,0.7343,button,,Sửa,0,2026-05-26 11:30:30
127,34,filter_macbook_button,v5,0.93,1.0,0.88,0.6645,0.764,0.9391,button,,MACBOOK,1,2026-05-26 11:31:03
128,34,filter_macbook_button,v5,0.93,0.7286,0.8626,0.6542,0.764,0.8447,button,,AIRPODS,0,2026-05-26 11:31:03
129,34,filter_macbook_button,v5,0.93,0.6891,0.8626,0.6414,0.764,0.8316,button,,IPAD,0,2026-05-26 11:31:03
130,34,filter_macbook_button,v5,0.93,0.6785,0.8501,0.6048,0.764,0.8246,button,,IPHONE,0,2026-05-26 11:31:03
131,34,filter_macbook_button,v5,0.842,0.6785,0.8376,0.5556,0.764,0.7868,button,,TẤT CẢ,0,2026-05-26 11:31:03
132,34,filter_macbook_button,v5,0.7729,0.696,0.6749,0.5373,0.764,0.7201,button,,Sửa,0,2026-05-26 11:31:03
133,35,filter_airpods_button,v5,0.93,1.0,0.88,0.6638,0.764,0.9391,button,,AIRPODS,1,2026-05-26 11:31:36
